index,Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf,Latitude,Longitude
36,Bandra (West),"Rs.34,000 - 40,800/sq. ft.","34,000 - 40,800",34000.0,40800.0,37400.0,-1.46%,"Rs.44,965 - 54,251","44,965 - 54,251",44965.0,54251.0,49608.0,133%,"Rs.72,004 - 87,911","72,004 - 87,911",72004.0,87911.0,79957.5,214%,"Rs.1,31,750 - 1,71,275","1,31,750 - 1,71,275",131750.0,171275.0,151512.5,405%,19.0583358,72.8302669
37,Bandra Kurla Complex,"Rs.22,738 - 27,498/sq. ft.","22,738 - 27,498",22738.0,27498.0,25118.0,-8.55%,,,,,,,,,,,,,,,,,,,19.067115,72.8657245
38,Belapur,"Rs.8,882 - 10,838/sq. ft.","8,882 - 10,838",8882.0,10838.0,9860.0,0%,"Rs.10,032 - 12,898","10,032 - 12,898",10032.0,12898.0,11465.0,116%,"Rs.21,888 - 28,016","21,888 - 28,016",21888.0,28016.0,24952.0,253%,"Rs.38,097 - 49,385","38,097 - 49,385",38097.0,49385.0,43741.0,444%,19.01898695,73.0390947240844
39,Belavali,"Rs.3,060 - 3,485/sq. ft.","3,060 - 3,485",3060.0,3485.0,3272.5,-4.88%,"Rs.3,213 - 4,284","3,213 - 4,284",3213.0,4284.0,3748.5,115%,,,,,,,,,,,,,,
40,Belpada,"Rs.7,735 - 8,925/sq. ft.","7,735 - 8,925",7735.0,8925.0,8330.0,10.5%,"Rs.9,092 - 11,964","9,092 - 11,964",9092.0,11964.0,10528.0,126%,"Rs.14,994 - 18,326","14,994 - 18,326",14994.0,18326.0,16660.0,200%,,,,,,,19.0290316,73.0589142
41,Bevarly Park,"Rs.7,310 - 8,202/sq. ft.","7,310 - 8,202",7310.0,8202.0,7756.0,0%,"Rs.9,818 - 10,752","9,818 - 10,752",9818.0,10752.0,10285.0,133%,"Rs.13,243 - 15,334","13,243 - 15,334",13243.0,15334.0,14288.5,184%,,,,,,,,
42,Bhagat Colony,"Rs.14,195 - 16,532/sq. ft.","14,195 - 16,532",14195.0,16532.0,15363.5,8.81%,,,,,,,,,,,,,,,,,,,19.0301619,72.8430858
43,Bhakti Park,"Rs.20,910 - 21,802/sq. ft.","20,910 - 21,802",20910.0,21802.0,21356.0,-1.76%,,,,,,,"Rs.47,603 - 53,096","47,603 - 53,096",47603.0,53096.0,50349.5,236%,"Rs.70,991 - 78,543","70,991 - 78,543",70991.0,78543.0,74767.0,350%,19.0278681,72.8795682
44,Bhandup (East),"Rs.12,198 - 14,492/sq. ft.","12,198 - 14,492",12198.0,14492.0,13345.0,1.29%,"Rs.17,298 - 20,570","17,298 - 20,570",17298.0,20570.0,18934.0,142%,"Rs.33,150 - 36,550","33,150 - 36,550",33150.0,36550.0,34850.0,261%,"Rs.54,300 - 58,477","54,300 - 58,477",54300.0,58477.0,56388.5,423%,19.1485568,72.9470657
45,Bhandup (West),"Rs.12,750 - 14,322/sq. ft.","12,750 - 14,322",12750.0,14322.0,13536.0,2.24%,"Rs.20,562 - 22,568","20,562 - 22,568",20562.0,22568.0,21565.0,159%,"Rs.29,304 - 33,490","29,304 - 33,490",29304.0,33490.0,31397.0,232%,"Rs.40,256 - 45,288","40,256 - 45,288",40256.0,45288.0,42772.0,316%,19.1462636,72.9339461
