Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
Badlapur,"Rs.3,060 - 3,570/sq. ft.","3,060 - 3,570",3060,3570,3315,-2.53%,"Rs.3,528 - 4,032","3,528 - 4,032",3528,4032,3780,114%,"Rs.4,360 - 5,814","4,360 - 5,814",4360,5814,5087,153%,,,,,,
Badlapur (East),"Rs.2,975 - 3,442/sq. ft.","2,975 - 3,442",2975,3442,3208.5,-1.32%,"Rs.2,830 - 3,774","2,830 - 3,774",2830,3774,3302,103%,"Rs.5,022 - 5,739","5,022 - 5,739",5022,5739,5380.5,168%,,,,,,
Badlapur (West),"Rs.3,018 - 3,485/sq. ft.","3,018 - 3,485",3018,3485,3251.5,-3.8%,"Rs.3,131 - 4,175","3,131 - 4,175",3131,4175,3653,112%,"Rs.4,529 - 6,038","4,529 - 6,038",4529,6038,5283.5,162%,,,,,,
Balkum,"Rs.8,628 - 9,775/sq. ft.","8,628 - 9,775",8628,9775,9201.5,3.4%,"Rs.10,353 - 13,459","10,353 - 13,459",10353,13459,11906,129%,,,,,,,,,,,,
Bandra (East),"Rs.24,140 - 31,068/sq. ft.","24,140 - 31,068",24140,31068,27604,-2.22%,,,,,,,"Rs.57,800 - 67,150","57,800 - 67,150",57800,67150,62475,226%,,,,,,
Bandra (West),"Rs.34,000 - 40,800/sq. ft.","34,000 - 40,800",34000,40800,37400,-1.46%,"Rs.44,965 - 54,251","44,965 - 54,251",44965,54251,49608,133%,"Rs.72,004 - 87,911","72,004 - 87,911",72004,87911,79957.5,214%,"Rs.1,31,750 - 1,71,275","1,31,750 - 1,71,275",131750,171275,151512.5,405%
Bandra Kurla Complex,"Rs.22,738 - 27,498/sq. ft.","22,738 - 27,498",22738,27498,25118,-8.55%,,,,,,,,,,,,,,,,,,
Belapur,"Rs.8,882 - 10,838/sq. ft.","8,882 - 10,838",8882,10838,9860,0%,"Rs.10,032 - 12,898","10,032 - 12,898",10032,12898,11465,116%,"Rs.21,888 - 28,016","21,888 - 28,016",21888,28016,24952,253%,"Rs.38,097 - 49,385","38,097 - 49,385",38097,49385,43741,444%
Belavali,"Rs.3,060 - 3,485/sq. ft.","3,060 - 3,485",3060,3485,3272.5,-4.88%,"Rs.3,213 - 4,284","3,213 - 4,284",3213,4284,3748.5,115%,,,,,,,,,,,,
Belpada,"Rs.7,735 - 8,925/sq. ft.","7,735 - 8,925",7735,8925,8330,10.5%,"Rs.9,092 - 11,964","9,092 - 11,964",9092,11964,10528,126%,"Rs.14,994 - 18,326","14,994 - 18,326",14994,18326,16660,200%,,,,,,
Bevarly Park,"Rs.7,310 - 8,202/sq. ft.","7,310 - 8,202",7310,8202,7756,0%,"Rs.9,818 - 10,752","9,818 - 10,752",9818,10752,10285,133%,"Rs.13,243 - 15,334","13,243 - 15,334",13243,15334,14288.5,184%,,,,,,
Bhagat Colony,"Rs.14,195 - 16,532/sq. ft.","14,195 - 16,532",14195,16532,15363.5,8.81%,,,,,,,,,,,,,,,,,,
Bhakti Park,"Rs.20,910 - 21,802/sq. ft.","20,910 - 21,802",20910,21802,21356,-1.76%,,,,,,,"Rs.47,603 - 53,096","47,603 - 53,096",47603,53096,50349.5,236%,"Rs.70,991 - 78,543","70,991 - 78,543",70991,78543,74767,350%
