Locality Name,buy_rate,buy_rate_trim,buy_rate_lower,buy_rate_higher,buy_rate_avg,Buy Rates Q/Q,Rent_1B,Rent_1B_trim,Rent_1B_Lower,Rent_1B_Upper,Rent_1B_avg,Rent_1B_persqf,Rent_2B,Rent_2B_trim,Rent_2B_Lower,Rent_2B_Upper,Rent_2B_avg,Rent_2B_persqf,Rent_3B,Rent_3B_trim,Rent_3B_Lower,Rent_3B_Upper,Rent_3B_avg,Rent_3B_persqf
Sector 4 Kharghar,"Rs.8,415 - 9,392/sq. ft.","8,415 - 9,392",8415,9392,8903.5,1.46%,"Rs.11,602 - 12,995","11,602 - 12,995",11602,12995,12298.5,138%,"Rs.15,342 - 18,572","15,342 - 18,572",15342,18572,16957,190%,"Rs.24,047 - 27,844","24,047 - 27,844",24047,27844,25945.5,291%
Sector 42 Seawoods,"Rs.11,348 - 13,302/sq. ft.","11,348 - 13,302",11348,13302,12325,,"Rs.14,586 - 15,558","14,586 - 15,558",14586,15558,15072,122%,"Rs.22,100 - 25,500","22,100 - 25,500",22100,25500,23800,193%,,,,,,
Sector 5 Ghansoli,"Rs.9,052 - 10,328/sq. ft.","9,052 - 10,328",9052,10328,9690,-6.67%,"Rs.11,688 - 14,025","11,688 - 14,025",11688,14025,12856.5,133%,,,,,,,,,,,,
Sector 5 Ulwe,"Rs.6,672 - 7,608/sq. ft.","6,672 - 7,608",6672,7608,7140,7.55%,,,,,,,,,,,,,,,,,,
Sector 6 Kamothe,"Rs.6,248 - 7,055/sq. ft.","6,248 - 7,055",6248,7055,6651.5,-3.05%,,,,,,,,,,,,,,,,,,
Sector 7 Kharghar,"Rs.9,648 - 10,625/sq. ft.","9,648 - 10,625",9648,10625,10136.5,2.13%,,,,,,,"Rs.21,134 - 23,890","21,134 - 23,890",21134,23890,22512,222%,"Rs.24,140 - 28,968","24,140 - 28,968",24140,28968,26554,262%
Sector 8 Airoli,"Rs.10,795 - 12,070/sq. ft.","10,795 - 12,070",10795,12070,11432.5,-0.76%,"Rs.14,280 - 17,612","14,280 - 17,612",14280,17612,15946,139%,"Rs.19,426 - 24,656","19,426 - 24,656",19426,24656,22041,193%,,,,,,
Sector 9 Airoli,"Rs.8,670 - 9,902/sq. ft.","8,670 - 9,902",8670,9902,9286,2.33%,"Rs.10,625 - 12,750","10,625 - 12,750",10625,12750,11687.5,126%,"Rs.16,618 - 20,230","16,618 - 20,230",16618,20230,18424,198%,,,,,,
Sector 9 Nerul,"Rs.9,945 - 12,452/sq. ft.","9,945 - 12,452",9945,12452,11198.5,-4.24%,,,,,,,,,,,,,,,,,,
Sector-10/B Ulwe,"Rs.6,502 - 7,225/sq. ft.","6,502 - 7,225",6502,7225,6863.5,9.4%,,,,,,,,,,,,,,,,,,
Sector-10A Airoli,"Rs.14,195 - 14,535/sq. ft.","14,195 - 14,535",14195,14535,14365,0%,,,,,,,,,,,,,,,,,,
Sector-11 Taloja,"Rs.4,675 - 5,142/sq. ft.","4,675 - 5,142",4675,5142,4908.5,,,,,,,,,,,,,,,,,,,
Sector-12 Kamothe,"Rs.5,695 - 6,672/sq. ft.","5,695 - 6,672",5695,6672,6183.5,2.11%,,,,,,,,,,,,,,,,,,
Sector-12 Kopar Khairane,"Rs.8,628 - 10,625/sq. ft.","8,628 - 10,625",8628,10625,9626.5,11%,"Rs.11,539 - 13,846","11,539 - 13,846",11539,13846,12692.5,132%,"Rs.19,125 - 21,420","19,125 - 21,420",19125,21420,20272.5,211%,,,,,,
Sector-13 Kharghar,"Rs.7,098 - 8,245/sq. ft.","7,098 - 8,245",7098,8245,7671.5,2.81%,"Rs.8,583 - 10,014","8,583 - 10,014",8583,10014,9298.5,121%,"Rs.14,226 - 16,893","14,226 - 16,893",14226,16893,15559.5,203%,"Rs.21,556 - 25,598","21,556 - 25,598",21556,25598,23577,307%
Sector-14 Koparkhairane,"Rs.10,115 - 12,282/sq. ft.","10,115 - 12,282",10115,12282,11198.5,-1.55%,"Rs.13,829 - 16,213","13,829 - 16,213",13829,16213,15021,134%,"Rs.21,420 - 23,715","21,420 - 23,715",21420,23715,22567.5,202%,,,,,,
Sector-14 Sanpada,"Rs.12,708 - 13,218/sq. ft.","12,708 - 13,218",12708,13218,12963,-1.62%,"Rs.16,958 - 19,380","16,958 - 19,380",16958,19380,18169,140%,"Rs.23,715 - 30,600","23,715 - 30,600",23715,30600,27157.5,210%,"Rs.33,278 - 39,015","33,278 - 39,015",33278,39015,36146.5,279%
Sector-14 Taloja,"Rs.5,185 - 6,035/sq. ft.","5,185 - 6,035",5185,6035,5610,0%,,,,,,,,,,,,,,,,,,
Sector-15 Ghansoli,"Rs.9,775 - 11,050/sq. ft.","9,775 - 11,050",9775,11050,10412.5,-9.47%,"Rs.12,689 - 14,275","12,689 - 14,275",12689,14275,13482,129%,"Rs.20,747 - 22,476","20,747 - 22,476",20747,22476,21611.5,208%,,,,,,
Sector-15 Sanpada,"Rs.12,282 - 13,685/sq. ft.","12,282 - 13,685",12282,13685,12983.5,3.3%,"Rs.15,722 - 20,143","15,722 - 20,143",15722,20143,17932.5,138%,"Rs.27,251 - 30,365","27,251 - 30,365",27251,30365,28808,222%,,,,,,
Sector-16 Kharghar,"Rs.6,970 - 7,650/sq. ft.","6,970 - 7,650",6970,7650,7310,,"Rs.7,752 - 8,721","7,752 - 8,721",7752,8721,8236.5,113%,,,,,,,,,,,,
Sector-16 Koparkhairane,"Rs.9,308 - 10,200/sq. ft.","9,308 - 10,200",9308,10200,9754,,,,,,,,"Rs.17,707 - 21,396","17,707 - 21,396",17707,21396,19551.5,200%,,,,,,
Sector-16 Sanpada,"Rs.13,515 - 14,960/sq. ft.","13,515 - 14,960",13515,14960,14237.5,-2.02%,"Rs.16,524 - 19,003","16,524 - 19,003",16524,19003,17763.5,125%,"Rs.24,544 - 26,031","24,544 - 26,031",24544,26031,25287.5,178%,,,,,,
Sector-16 Taloja,"Rs.4,462 - 5,058/sq. ft.","4,462 - 5,058",4462,5058,4760,-6.84%,,,,,,,,,,,,,,,,,,
Sector-16 Ulwe,"Rs.6,715 - 7,692/sq. ft.","6,715 - 7,692",6715,7692,7203.5,3.59%,,,,,,,,,,,,,,,,,,
Sector-17 Kamothe,"Rs.6,290 - 7,225/sq. ft.","6,290 - 7,225",6290,7225,6757.5,3.25%,"Rs.7,357 - 8,338","7,357 - 8,338",7357,8338,7847.5,116%,"Rs.11,050 - 12,750","11,050 - 12,750",11050,12750,11900,176%,,,,,,
Sector-17 Kopar Khairane,"Rs.8,628 - 9,392/sq. ft.","8,628 - 9,392",8628,9392,9010,-6.79%,,,,,,,"Rs.19,727 - 21,371","19,727 - 21,371",19727,21371,20549,228%,,,,,,
Sector-18 Sanpada,"Rs.16,618 - 19,040/sq. ft.","16,618 - 19,040",16618,19040,17829,,,,,,,,"Rs.35,530 - 39,270","35,530 - 39,270",35530,39270,37400,210%,"Rs.51,404 - 56,419","51,404 - 56,419",51404,56419,53911.5,302%
Sector-18 Ulwe,"Rs.6,800 - 7,395/sq. ft.","6,800 - 7,395",6800,7395,7097.5,1.21%,,,,,,,"Rs.7,826 - 8,696","7,826 - 8,696",7826,8696,8261,116%,,,,,,
Sector-19 Airoli,"Rs.10,668 - 12,452/sq. ft.","10,668 - 12,452",10668,12452,11560,-4.15%,"Rs.13,558 - 15,895","13,558 - 15,895",13558,15895,14726.5,127%,"Rs.24,225 - 26,648","24,225 - 26,648",24225,26648,25436.5,220%,,,,,,
Sector-19 Koper Khairane,"Rs.7,055 - 8,202/sq. ft.","7,055 - 8,202",7055,8202,7628.5,,"Rs.8,483 - 10,180","8,483 - 10,180",8483,10180,9331.5,122%,"Rs.14,025 - 15,938","14,025 - 15,938",14025,15938,14981.5,196%,,,,,,
Sector-19 Taloja,"Rs.4,888 - 5,312/sq. ft.","4,888 - 5,312",4888,5312,5100,6.25%,,,,,,,,,,,,,,,,,,
Sector-19A Kopar Khairane,"Rs.7,140 - 8,330/sq. ft.","7,140 - 8,330",7140,8330,7735,,,,,,,,,,,,,,,,,,,
Sector-20 Koparkhairane,"Rs.9,775 - 11,305/sq. ft.","9,775 - 11,305",9775,11305,10540,-2.72%,"Rs.13,260 - 16,320","13,260 - 16,320",13260,16320,14790,140%,"Rs.22,950 - 26,350","22,950 - 26,350",22950,26350,24650,234%,,,,,,
Sector-20 Nerul,"Rs.8,882 - 9,988/sq. ft.","8,882 - 9,988",8882,9988,9435,-0.44%,"Rs.9,443 - 12,590","9,443 - 12,590",9443,12590,11016.5,117%,"Rs.16,830 - 19,890","16,830 - 19,890",16830,19890,18360,195%,,,,,,
Sector-20 Roadpali,"Rs.6,205 - 6,715/sq. ft.","6,205 - 6,715",6205,6715,6460,2.68%,"Rs.6,405 - 8,152","6,405 - 8,152",6405,8152,7278.5,113%,"Rs.10,248 - 13,042","10,248 - 13,042",10248,13042,11645,180%,,,,,,
Sector-20 Taloja,"Rs.4,292 - 4,675/sq. ft.","4,292 - 4,675",4292,4675,4483.5,-1.89%,,,,,,,,,,,,,,,,,,
Sector-20B Airoli,"Rs.9,562 - 10,880/sq. ft.","9,562 - 10,880",9562,10880,10221,-5.14%,"Rs.14,025 - 16,830","14,025 - 16,830",14025,16830,15427.5,151%,"Rs.22,950 - 26,010","22,950 - 26,010",22950,26010,24480,240%,,,,,,
Sector-23 Juinagar,"Rs.7,565 - 9,265/sq. ft.","7,565 - 9,265",7565,9265,8415,,,,,,,,,,,,,,,,,,,
Sector-23 Kharghar,"Rs.9,732 - 10,200/sq. ft.","9,732 - 10,200",9732,10200,9966,-4.18%,,,,,,,,,,,,,,,,,,
Sector-23 Taloja,"Rs.4,888 - 5,440/sq. ft.","4,888 - 5,440",4888,5440,5164,3.39%,,,,,,,,,,,,,,,,,,
Sector-24 Kamothe,"Rs.7,055 - 7,650/sq. ft.","7,055 - 7,650",7055,7650,7352.5,8.07%,,,,,,,,,,,,,,,,,,
Sector-25 Kamothe,"Rs.6,970 - 7,905/sq. ft.","6,970 - 7,905",6970,7905,7437.5,2.31%,"Rs.7,739 - 9,287","7,739 - 9,287",7739,9287,8513,114%,,,,,,,,,,,,
Sector-25 Khandeshhwar,"Rs.7,650 - 8,118/sq. ft.","7,650 - 8,118",7650,8118,7884,-2.11%,"Rs.9,706 - 10,217","9,706 - 10,217",9706,10217,9961.5,126%,"Rs.13,260 - 13,260","13,260 - 13,260",13260,13260,13260,168%,,,,,,
Sector-27 Kharghar,"Rs.7,055 - 8,712/sq. ft.","7,055 - 8,712",7055,8712,7883.5,-2.08%,"Rs.6,785 - 7,307","6,785 - 7,307",6785,7307,7046,89%,"Rs.16,356 - 19,082","16,356 - 19,082",16356,19082,17719,225%,"Rs.20,461 - 21,665","20,461 - 21,665",20461,21665,21063,267%
Sector-27 Nerul,"Rs.11,475 - 12,495/sq. ft.","11,475 - 12,495",11475,12495,11985,-1.4%,,,,,,,"Rs.17,404 - 20,719","17,404 - 20,719",17404,20719,19061.5,159%,,,,,,
Sector-28 Nerul,"Rs.12,920 - 17,170/sq. ft.","12,920 - 17,170",12920,17170,15045,-3.31%,,,,,,,,,,,,,"Rs.53,405 - 58,882","53,405 - 58,882",53405,58882,56143.5,373%
Sector-29C Airoli,"Rs.8,628 - 10,752/sq. ft.","8,628 - 10,752",8628,10752,9690,5.99%,"Rs.12,990 - 15,395","12,990 - 15,395",12990,15395,14192.5,146%,"Rs.22,491 - 25,823","22,491 - 25,823",22491,25823,24157,249%,,,,,,
Sector-3 Belpada,"Rs.8,118 - 8,968/sq. ft.","8,118 - 8,968",8118,8968,8543,,"Rs.9,238 - 12,155","9,238 - 12,155",9238,12155,10696.5,125%,"Rs.15,827 - 19,159","15,827 - 19,159",15827,19159,17493,205%,,,,,,
Sector-3 Ulwe,"Rs.6,375 - 7,438/sq. ft.","6,375 - 7,438",6375,7438,6906.5,7.28%,"Rs.4,628 - 5,657","4,628 - 5,657",4628,5657,5142.5,74%,,,,,,,,,,,,
Sector-30 Belapur,"Rs.9,902 - 10,838/sq. ft.","9,902 - 10,838",9902,10838,10370,2.1%,,,,,,,"Rs.25,372 - 28,417","25,372 - 28,417",25372,28417,26894.5,259%,,,,,,
Sector-34 Kharghar,"Rs.6,375 - 6,885/sq. ft.","6,375 - 6,885",6375,6885,6630,-3.11%,"Rs.7,902 - 8,395","7,902 - 8,395",7902,8395,8148.5,123%,,,,,,,,,,,,
Sector-34A Kharghar,"Rs.8,968 - 10,200/sq. ft.","8,968 - 10,200",8968,10200,9584,1.82%,,,,,,,"Rs.20,757 - 23,588","20,757 - 23,588",20757,23588,22172.5,231%,"Rs.28,792 - 30,163","28,792 - 30,163",28792,30163,29477.5,308%
Sector-34B Kharghar,"Rs.6,205 - 6,885/sq. ft.","6,205 - 6,885",6205,6885,6545,-6.71%,,,,,,,"Rs.13,222 - 16,333","13,222 - 16,333",13222,16333,14777.5,226%,,,,,,
Sector-35 Kamothe,"Rs.6,502 - 7,268/sq. ft.","6,502 - 7,268",6502,7268,6885,1.25%,"Rs.8,010 - 8,511","8,010 - 8,511",8010,8511,8260.5,120%,"Rs.10,387 - 11,985","10,387 - 11,985",10387,11985,11186,162%,,,,,,
Sector-35D Kharghar,"Rs.7,182 - 7,905/sq. ft.","7,182 - 7,905",7182,7905,7543.5,0%,"Rs.8,418 - 9,471","8,418 - 9,471",8418,9471,8944.5,119%,"Rs.14,960 - 18,700","14,960 - 18,700",14960,18700,16830,223%,"Rs.19,720 - 24,650","19,720 - 24,650",19720,24650,22185,294%
Sector-35E Kharghar,"Rs.6,800 - 8,118/sq. ft.","6,800 - 8,118",6800,8118,7459,-1.76%,"Rs.8,242 - 10,817","8,242 - 10,817",8242,10817,9529.5,128%,"Rs.15,150 - 17,991","15,150 - 17,991",15150,17991,16570.5,222%,"Rs.20,536 - 24,386","20,536 - 24,386",20536,24386,22461,301%
Sector-35G Kharghar,"Rs.7,990 - 8,840/sq. ft.","7,990 - 8,840",7990,8840,8415,2.07%,"Rs.10,924 - 11,965","10,924 - 11,965",10924,11965,11444.5,136%,"Rs.14,277 - 16,796","14,277 - 16,796",14277,16796,15536.5,185%,"Rs.18,958 - 22,513","18,958 - 22,513",18958,22513,20735.5,246%
Sector-37 Taloja,"Rs.7,692 - 8,160/sq. ft.","7,692 - 8,160",7692,8160,7926,0%,,,,,,,,,,,,,,,,,,
Sector-4 Nerul,"Rs.16,618 - 19,465/sq. ft.","16,618 - 19,465",16618,19465,18041.5,2.4%,,,,,,,"Rs.40,509 - 46,742","40,509 - 46,742",40509,46742,43625.5,242%,"Rs.66,300 - 85,000","66,300 - 85,000",66300,85000,75650,419%
Sector-42A Seawoods,"Rs.10,285 - 11,390/sq. ft.","10,285 - 11,390",10285,11390,10837.5,,,,,,,,,,,,,,,,,,,
Sector-44A Seawoods,"Rs.10,540 - 12,750/sq. ft.","10,540 - 12,750",10540,12750,11645,-4.38%,"Rs.11,772 - 13,656","11,772 - 13,656",11772,13656,12714,109%,,,,,,,,,,,,
Sector-5 Kamothe,"Rs.5,908 - 6,928/sq. ft.","5,908 - 6,928",5908,6928,6418,,,,,,,,,,,,,,,,,,,
Sector-5 Kharghar,"Rs.9,052 - 10,115/sq. ft.","9,052 - 10,115",9052,10115,9583.5,-5.04%,,,,,,,"Rs.18,546 - 21,196","18,546 - 21,196",18546,21196,19871,207%,"Rs.20,502 - 25,058","20,502 - 25,058",20502,25058,22780,238%
Sector-5 Kopar Khairane,"Rs.9,775 - 11,688/sq. ft.","9,775 - 11,688",9775,11688,10731.5,,"Rs.12,155 - 15,428","12,155 - 15,428",12155,15428,13791.5,129%,"Rs.18,360 - 22,185","18,360 - 22,185",18360,22185,20272.5,189%,,,,,,
Sector-50 Seawoods,"Rs.10,795 - 12,622/sq. ft.","10,795 - 12,622",10795,12622,11708.5,3.79%,"Rs.12,495 - 15,494","12,495 - 15,494",12495,15494,13994.5,120%,,,,,,,"Rs.34,731 - 43,993","34,731 - 43,993",34731,43993,39362,336%
Sector-58 Seawoods,"Rs.16,532 - 18,445/sq. ft.","16,532 - 18,445",16532,18445,17488.5,-0.98%,,,,,,,"Rs.36,465 - 43,010","36,465 - 43,010",36465,43010,39737.5,227%,"Rs.51,232 - 56,771","51,232 - 56,771",51232,56771,54001.5,309%
Sector-6 Airoli,"Rs.10,582 - 11,772/sq. ft.","10,582 - 11,772",10582,11772,11177,0.38%,"Rs.14,960 - 17,298","14,960 - 17,298",14960,17298,16129,144%,"Rs.21,326 - 24,608","21,326 - 24,608",21326,24608,22967,205%,,,,,,
Sector-6 Ghansoli,"Rs.9,605 - 10,540/sq. ft.","9,605 - 10,540",9605,10540,10072.5,,"Rs.10,696 - 13,127","10,696 - 13,127",10696,13127,11911.5,118%,,,,,,,,,,,,
Sector-6 Kharghar,"Rs.9,265 - 10,795/sq. ft.","9,265 - 10,795",9265,10795,10030,1.72%,"Rs.11,164 - 12,179","11,164 - 12,179",11164,12179,11671.5,116%,,,,,,,"Rs.27,956 - 34,034","27,956 - 34,034",27956,34034,30995,309%
Sector-6A Kamothe,"Rs.7,352 - 7,990/sq. ft.","7,352 - 7,990",7352,7990,7671,1.69%,,,,,,,,,,,,,,,,,,
Sector-7 Kamothe,"Rs.6,758 - 7,480/sq. ft.","6,758 - 7,480",6758,7480,7119,1.19%,,,,,,,,,,,,,,,,,,
Sector-8 Charkop,"Rs.11,518 - 12,665/sq. ft.","11,518 - 12,665",11518,12665,12091.5,0.71%,"Rs.16,097 - 17,991","16,097 - 17,991",16097,17991,17044,141%,"Rs.21,026 - 23,202","21,026 - 23,202",21026,23202,22114,183%,,,,,,
Sector-8 Ghansoli,"Rs.11,348 - 13,048/sq. ft.","11,348 - 13,048",11348,13048,12198,-4.38%,"Rs.16,634 - 18,650","16,634 - 18,650",16634,18650,17642,145%,"Rs.23,664 - 25,242","23,664 - 25,242",23664,25242,24453,200%,,,,,,
Sector-8 Kharghar,"Rs.8,798 - 9,902/sq. ft.","8,798 - 9,902",8798,9902,9350,-3.59%,"Rs.10,809 - 11,791","10,809 - 11,791",10809,11791,11300,121%,"Rs.17,391 - 20,869","17,391 - 20,869",17391,20869,19130,205%,"Rs.19,815 - 24,769","19,815 - 24,769",19815,24769,22292,238%
Sector-8 Sanpada,"Rs.12,750 - 13,898/sq. ft.","12,750 - 13,898",12750,13898,13324,-3.23%,,,,,,,,,,,,,,,,,,
Sector-8 Ulwe,"Rs.6,460 - 7,225/sq. ft.","6,460 - 7,225",6460,7225,6842.5,4.46%,"Rs.4,216 - 5,270","4,216 - 5,270",4216,5270,4743,69%,"Rs.7,249 - 9,061","7,249 - 9,061",7249,9061,8155,119%,,,,,,
Sector-8A Airoli,"Rs.9,860 - 11,390/sq. ft.","9,860 - 11,390",9860,11390,10625,1.65%,"Rs.14,408 - 16,328","14,408 - 16,328",14408,16328,15368,145%,"Rs.20,999 - 24,110","20,999 - 24,110",20999,24110,22554.5,212%,,,,,,
Sector-9 Charkop,"Rs.11,390 - 12,368/sq. ft.","11,390 - 12,368",11390,12368,11879,,,,,,,,,,,,,,,,,,,
Sector-9 Kamothe,"Rs.6,120 - 6,800/sq. ft.","6,120 - 6,800",6120,6800,6460,2.61%,,,,,,,,,,,,,,,,,,
Sector-9 Sanpada,"Rs.12,878 - 15,300/sq. ft.","12,878 - 15,300",12878,15300,14089,-7.22%,,,,,,,"Rs.21,950 - 28,322","21,950 - 28,322",21950,28322,25136,178%,,,,,,
Sector-9 Ulwe,"Rs.7,098 - 7,948/sq. ft.","7,098 - 7,948",7098,7948,7523,4.12%,"Rs.5,372 - 5,909","5,372 - 5,909",5372,5909,5640.5,75%,,,,,,,"Rs.12,856 - 14,025","12,856 - 14,025",12856,14025,13440.5,179%
Seven Bunglow,"Rs.18,275 - 22,738/sq. ft.","18,275 - 22,738",18275,22738,20506.5,-13.98%,,,,,,,,,,,,,"Rs.56,695 - 69,020","56,695 - 69,020",56695,69020,62857.5,307%
Sewri,"Rs.25,882 - 29,538/sq. ft.","25,882 - 29,538",25882,29538,27710,5.57%,"Rs.24,055 - 26,942","24,055 - 26,942",24055,26942,25498.5,92%,,,,,,,"Rs.72,383 - 85,348","72,383 - 85,348",72383,85348,78865.5,285%
Shahad,"Rs.4,718 - 5,482/sq. ft.","4,718 - 5,482",4718,5482,5100,-2.38%,,,,,,,,,,,,,,,,,,
Shahpur,"Rs.2,465 - 2,932/sq. ft.","2,465 - 2,932",2465,2932,2698.5,1.64%,,,,,,,,,,,,,,,,,,
Shanti Nagar,"Rs.7,480 - 8,585/sq. ft.","7,480 - 8,585",7480,8585,8032.5,0%,,,,,,,,,,,,,,,,,,
Shanti Park,"Rs.7,990 - 9,010/sq. ft.","7,990 - 9,010",7990,9010,8500,4.76%,,,,,,,,,,,,,,,,,,
Shastri Nagar,"Rs.5,568 - 6,332/sq. ft.","5,568 - 6,332",5568,6332,5950,0%,,,,,,,,,,,,,,,,,,
Shastri Nagar,"Rs.23,502 - 26,690/sq. ft.","23,502 - 26,690",23502,26690,25096,6.4%,"Rs.33,724 - 38,122","33,724 - 38,122",33724,38122,35923,143%,"Rs.46,890 - 52,454","46,890 - 52,454",46890,52454,49672,198%,"Rs.67,215 - 86,238","67,215 - 86,238",67215,86238,76726.5,306%
Sheetal Nagar,"Rs.7,225 - 8,372/sq. ft.","7,225 - 8,372",7225,8372,7798.5,,,,,,,,,,,,,,,,,,,
Sher E Punjab Colony,"Rs.13,855 - 15,002/sq. ft.","13,855 - 15,002",13855,15002,14428.5,-4.26%,"Rs.22,822 - 24,648","22,822 - 24,648",22822,24648,23735,165%,"Rs.30,336 - 33,864","30,336 - 33,864",30336,33864,32100,222%,,,,,,
Shilphata,"Rs.5,312 - 6,162/sq. ft.","5,312 - 6,162",5312,6162,5737,8.8%,"Rs.7,069 - 8,583","7,069 - 8,583",7069,8583,7826,136%,"Rs.10,543 - 12,050","10,543 - 12,050",10543,12050,11296.5,197%,,,,,,
Shimpoli,"Rs.15,598 - 18,402/sq. ft.","15,598 - 18,402",15598,18402,17000,-1.21%,,,,,,,,,,,,,,,,,,
Shirgaon,"Rs.3,060 - 3,528/sq. ft.","3,060 - 3,528",3060,3528,3294,-2.53%,"Rs.3,510 - 4,012","3,510 - 4,012",3510,4012,3761,114%,"Rs.5,034 - 5,753","5,034 - 5,753",5034,5753,5393.5,164%,,,,,,
Shivaji Park,"Rs.30,302 - 36,465/sq. ft.","30,302 - 36,465",30302,36465,33383.5,-0.26%,"Rs.38,743 - 41,896","38,743 - 41,896",38743,41896,40319.5,121%,"Rs.62,475 - 69,139","62,475 - 69,139",62475,69139,65807,197%,,,,,,
Shree Nagar,"Rs.10,370 - 12,665/sq. ft.","10,370 - 12,665",10370,12665,11517.5,,,,,,,,,,,,,,,,,,,
Siddharth Nagar,"Rs.15,215 - 17,425/sq. ft.","15,215 - 17,425",15215,17425,16320,9.68%,"Rs.16,925 - 19,152","16,925 - 19,152",16925,19152,18038.5,111%,"Rs.25,288 - 28,900","25,288 - 28,900",25288,28900,27094,166%,,,,,,
Sindhi Society Chembur,"Rs.16,788 - 18,955/sq. ft.","16,788 - 18,955",16788,18955,17871.5,-0.96%,"Rs.26,444 - 29,438","26,444 - 29,438",26444,29438,27941,156%,"Rs.34,722 - 41,182","34,722 - 41,182",34722,41182,37952,212%,"Rs.50,490 - 55,080","50,490 - 55,080",50490,55080,52785,295%
Sion (East),"Rs.20,612 - 25,330/sq. ft.","20,612 - 25,330",20612,25330,22971,-11.35%,,,,,,,,,,,,,,,,,,
Sriprastha,"Rs.3,782 - 4,718/sq. ft.","3,782 - 4,718",3782,4718,4250,-5.61%,,,,,,,,,,,,,,,,,,
Sunder Nagar,"Rs.15,810 - 16,830/sq. ft.","15,810 - 16,830",15810,16830,16320,-4.25%,"Rs.22,772 - 24,710","22,772 - 24,710",22772,24710,23741,145%,"Rs.30,703 - 34,447","30,703 - 34,447",30703,34447,32575,200%,,,,,,
Sunil Nagar,"Rs.6,630 - 7,395/sq. ft.","6,630 - 7,395",6630,7395,7012.5,-3.57%,,,,,,,,,,,,,,,,,,
SV Patel Nagar,"Rs.18,488 - 20,655/sq. ft.","18,488 - 20,655",18488,20655,19571.5,0.89%,,,,,,,,,,,,,,,,,,
Tagore Nagar,"Rs.10,838 - 12,325/sq. ft.","10,838 - 12,325",10838,12325,11581.5,,,,,,,,,,,,,,,,,,,
Takka Colony,"Rs.6,800 - 7,692/sq. ft.","6,800 - 7,692",6800,7692,7246,5.49%,,,,,,,,,,,,,,,,,,
Taloja,"Rs.4,420 - 5,100/sq. ft.","4,420 - 5,100",4420,5100,4760,0%,"Rs.4,582 - 5,092","4,582 - 5,092",4582,5092,4837,102%,"Rs.7,130 - 7,922","7,130 - 7,922",7130,7922,7526,158%,"Rs.16,575 - 17,850","16,575 - 17,850",16575,17850,17212.5,362%
Taloja Panchanand,"Rs.4,675 - 5,440/sq. ft.","4,675 - 5,440",4675,5440,5057.5,4.35%,"Rs.5,194 - 6,232","5,194 - 6,232",5194,6232,5713,113%,"Rs.7,650 - 9,350","7,650 - 9,350",7650,9350,8500,168%,,,,,,
Tambe Nagar,"Rs.15,342 - 16,915/sq. ft.","15,342 - 16,915",15342,16915,16128.5,1.35%,,,,,,,"Rs.31,686 - 33,354","31,686 - 33,354",31686,33354,32520,202%,"Rs.36,992 - 39,168","36,992 - 39,168",36992,39168,38080,236%
Tardeo,"Rs.38,632 - 49,258/sq. ft.","38,632 - 49,258",38632,49258,43945,0%,,,,,,,,,,,,,,,,,,
Teen Haath Naka,"Rs.11,475 - 13,090/sq. ft.","11,475 - 13,090",11475,13090,12282.5,-8.04%,"Rs.14,178 - 16,541","14,178 - 16,541",14178,16541,15359.5,125%,"Rs.23,689 - 25,217","23,689 - 25,217",23689,25217,24453,199%,"Rs.42,595 - 43,926","42,595 - 43,926",42595,43926,43260.5,352%
Thakur Complex,"Rs.14,535 - 16,150/sq. ft.","14,535 - 16,150",14535,16150,15342.5,2.24%,"Rs.15,788 - 17,495","15,788 - 17,495",15788,17495,16641.5,108%,"Rs.25,288 - 26,732","25,288 - 26,732",25288,26732,26010,170%,"Rs.30,196 - 37,485","30,196 - 37,485",30196,37485,33840.5,221%
Thakur Village,"Rs.15,810 - 17,935/sq. ft.","15,810 - 17,935",15810,17935,16872.5,-1.5%,"Rs.17,774 - 20,374","17,774 - 20,374",17774,20374,19074,113%,"Rs.24,692 - 28,220","24,692 - 28,220",24692,28220,26456,157%,"Rs.31,688 - 39,610","31,688 - 39,610",31688,39610,35649,211%
Thakurli,"Rs.6,078 - 6,502/sq. ft.","6,078 - 6,502",6078,6502,6290,3.47%,"Rs.6,630 - 7,650","6,630 - 7,650",6630,7650,7140,114%,,,,,,,,,,,,
Thane (East),"Rs.10,242 - 12,155/sq. ft.","10,242 - 12,155",10242,12155,11198.5,0%,"Rs.14,144 - 15,912","14,144 - 15,912",14144,15912,15028,134%,"Rs.20,230 - 24,565","20,230 - 24,565",20230,24565,22397.5,200%,,,,,,
Thane West,"Rs.8,968 - 10,838/sq. ft.","8,968 - 10,838",8968,10838,9903,0.88%,"Rs.11,437 - 14,918","11,437 - 14,918",11437,14918,13177.5,133%,"Rs.17,634 - 21,642","17,634 - 21,642",17634,21642,19638,198%,"Rs.25,245 - 30,982","25,245 - 30,982",25245,30982,28113.5,284%
Tilak Nagar,"Rs.6,502 - 7,608/sq. ft.","6,502 - 7,608",6502,7608,7055,,,,,,,,,,,,,,,,,,,
Tilak Nagar,"Rs.13,430 - 15,300/sq. ft.","13,430 - 15,300",13430,15300,14365,1.5%,"Rs.20,332 - 22,984","20,332 - 22,984",20332,22984,21658,151%,"Rs.32,306 - 36,246","32,306 - 36,246",32306,36246,34276,239%,,,,,,
