,Neighborhood,arts_culture_recreation,bars_nightlife,business_hub,café_fastfoods,cuisine_restaurants,education_colleges,kids_family_residential,nature_view,regular_restaurants,shopping,sports_fitness,stores_daily_conveniences,tourist_interest,transport_vicinity,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Mapping
108,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Club Ren,19.072647518685923,72.83206366613095,Nightclub,bars_nightlife
109,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Me So Happi,19.07112649646926,72.83398039648264,Comfort Food Restaurant,regular_restaurants
110,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Radhe Krishna Chat,19.07531488640619,72.83466870246613,Snack Place,café_fastfoods
111,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Sufra,19.066385307838615,72.8231275754687,Middle Eastern Restaurant,cuisine_restaurants
112,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Cocoberry,19.070973256014614,72.82333610456999,Dessert Shop,café_fastfoods
113,Ambedkar Nagar,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Hoppipola,19.068231336866415,72.8378952512557,Bar,bars_nightlife
114,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Le Pain Quotidien,19.07885768117065,72.82990923188731,French Restaurant,cuisine_restaurants
115,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,The Korner House,19.07198926217161,72.82555560695286,New American Restaurant,cuisine_restaurants
116,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.0708218,72.8288647,Tresorie,19.077217898608698,72.83462963552813,Furniture / Home Store,shopping
117,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0708218,72.8288647,Guess Store,19.0709448899105,72.83411479292107,Clothing Store,stores_daily_conveniences
118,Ambedkar Nagar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Shankh Recording Studio,19.073877370309006,72.83384360758069,Music Venue,arts_culture_recreation
119,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Lassi Te Parrontthe,19.070738220888266,72.82295601623416,Fast Food Restaurant,regular_restaurants
120,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Maroosh,19.07096205641255,72.82338157786442,Middle Eastern Restaurant,cuisine_restaurants
121,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Cafe Coffee Day,19.07048190884443,72.82257992001314,Coffee Shop,café_fastfoods
122,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Pink Sugar,19.070906050013484,72.82320944265895,Dessert Shop,café_fastfoods
123,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Khar Gymkhana- Pavilion,19.07008840438329,72.8315482723459,Asian Restaurant,regular_restaurants
124,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Burgs,19.070780171588176,72.8228394967204,Burger Joint,café_fastfoods
125,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Only Parathas,19.06959161118686,72.83367947520443,Indian Restaurant,regular_restaurants
126,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Manju Dosa,19.07562627781871,72.8311243836952,Snack Place,café_fastfoods
127,Ambedkar Nagar,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.0708218,72.8288647,United Colors of Benetton,19.077128485276397,72.83450356224128,Clothing Store,stores_daily_conveniences
128,Ambedkar Nagar,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Pastaa Bastta,19.070723062315945,72.82311712015458,Italian Restaurant,cuisine_restaurants
129,Ambedkar Nagar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Cafe Coffee Day,19.07120354126221,72.8360080718994,Coffee Shop,café_fastfoods
130,Ambedkar Nagar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0708218,72.8288647,Wok In The Box,19.070851425107552,72.82313386390172,Asian Restaurant,regular_restaurants
131,Ambedkar Nagar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0708218,72.8288647,Temperance,19.065565624769608,72.82478570938109,Performing Arts Venue,arts_culture_recreation
